CustomerID,TotalValue,Quantity,Price,Cluster
C0001,3354.5200000000004,12,278.334,4
C0002,1862.74,10,208.92,4
C0003,2725.38,14,195.70749999999998,4
C0004,5354.88,23,240.63625000000002,0
C0005,2034.24,7,291.6033333333333,1
C0006,4227.57,12,332.03499999999997,3
C0007,2579.8199999999997,8,350.02,1
C0008,4271.61,20,231.16,3
C0009,896.5,3,298.8333333333333,1
C0010,1717.5500000000002,12,153.27,2
C0011,3730.0,13,292.628,3
C0012,5231.259999999999,19,270.7985714285714,3
C0013,6000.56,18,320.79,3
C0014,318.66,2,159.33,2
C0015,1157.48,4,355.78999999999996,1
C0016,3874.42,10,391.35,1
C0017,4753.82,21,225.785,0
C0018,4781.85,18,254.33800000000002,3
C0019,2185.8199999999997,11,240.63333333333333,4
C0020,922.41,3,307.47,1
C0021,5419.92,17,308.57625,3
C0022,4655.07,15,279.3983333333333,3
C0023,5158.65,14,394.53666666666663,3
C0024,3627.02,14,298.0314285714286,3
C0025,1589.81,8,182.9375,2
C0026,3549.05,12,315.91,3
C0027,2562.94,12,233.5375,4
C0028,6819.57,24,288.61125,0
C0029,1785.8700000000001,10,207.8175,4
C0030,2549.6800000000003,13,222.82399999999998,4
C0031,2005.38,10,234.61,4
C0032,673.0,5,181.5,2
C0033,132.64,2,66.32,2
C0034,3073.2000000000003,17,194.31333333333336,4
C0035,2587.61,10,234.66750000000002,4
C0036,1877.96,8,227.47333333333336,4
C0037,4252.77,14,299.096,3
C0038,2696.85,13,200.71800000000002,4
C0039,4239.6,18,216.85,4
C0040,3969.3999999999996,10,397.34,1
C0041,6149.78,23,254.28285714285715,0
C0042,2402.49,6,411.62999999999994,1
C0043,1131.3200000000002,6,188.55333333333337,2
C0044,3230.1099999999997,7,429.00333333333333,1
C0045,6021.8,23,267.73285714285714,0
C0046,5627.83,19,288.81142857142856,3
C0047,2870.54,13,254.77857142857144,4
C0048,3850.9399999999996,12,355.77799999999996,3
C0049,2315.48,17,158.51125,4
C0050,3068.83,8,395.2733333333333,1
C0051,5699.57,16,314.3457142857143,3
C0052,2488.01,10,246.5975,4
C0053,5316.46,18,253.66666666666666,3
C0054,8040.389999999999,24,330.48875,0
C0055,2857.6800000000003,12,228.844,4
C0056,3182.94,12,308.556,1
C0057,4536.4,16,263.0133333333333,3
C0058,396.34,1,396.34,1
C0059,7073.28,21,355.46375,0
C0060,82.36,2,41.18,2
C0061,2138.26,6,292.0833333333333,1
C0062,1639.54,8,215.85999999999999,2
C0063,1378.1699999999998,5,210.075,2
C0064,4039.77,13,294.536,3
C0065,7663.7,27,275.8,0
C0066,3799.2799999999997,9,405.1666666666667,1
C0067,4090.84,14,286.17333333333335,3
C0068,5950.42,22,256.77375,0
C0069,2878.69,10,282.048,4
C0070,3125.49,12,280.565,4
C0071,1400.83,7,183.25,2
C0072,2999.59,13,209.06599999999997,4
C0073,2060.54,10,250.00666666666666,4
C0074,3055.2200000000003,8,377.91,1
C0075,5848.97,28,219.49222222222224,0
C0076,2333.06,11,267.524,4
C0077,837.3,7,170.66666666666666,2
C0078,995.52,2,497.76,1
C0079,4251.5599999999995,12,358.8675,3
C0080,1007.52,3,335.84,1
C0081,3542.48,14,236.59333333333333,4
C0082,7572.91,23,352.31,0
C0083,642.8,4,195.16666666666666,2
