TransactionID,CustomerID,ProductID,TransactionDate,Quantity,TotalValue,Price
T00001,C0199,P067,25-08-2024 12:38,1,300.68,300.68
T00112,C0146,P067,27-05-2024 22:23,1,300.68,300.68
T00166,C0127,P067,25-04-2024 07:38,1,300.68,300.68
T00272,C0087,P067,26-03-2024 22:55,2,601.36,300.68
T00363,C0070,P067,21-03-2024 15:10,3,902.04,300.68
T00442,C0188,P067,26-12-2024 14:40,1,300.68,300.68
T00490,C0195,P067,24-11-2024 11:49,3,902.04,300.68
T00536,C0008,P067,22-09-2024 06:13,1,300.68,300.68
T00564,C0157,P067,07-12-2024 17:57,3,902.04,300.68
T00631,C0130,P067,14-05-2024 23:14,2,601.36,300.68
T00727,C0051,P067,20-01-2024 04:52,3,902.04,300.68
T00729,C0075,P067,07-10-2024 06:38,2,601.36,300.68
T00797,C0155,P067,04-10-2024 20:42,2,601.36,300.68
T00002,C0092,P034,16-12-2024 03:31,2,434.1,217.05
T00063,C0088,P034,19-06-2024 07:16,2,434.1,217.05
T00093,C0109,P034,11-08-2024 04:10,4,868.2,217.05
T00127,C0041,P034,03-06-2024 21:07,4,868.2,217.05
T00270,C0101,P034,07-11-2024 02:48,3,651.15,217.05
T00358,C0154,P034,08-04-2024 20:47,1,217.05,217.05
T00518,C0200,P034,11-12-2024 03:05,4,868.2,217.05
T00546,C0049,P034,30-08-2024 06:42,1,217.05,217.05
T00982,C0103,P034,17-07-2024 03:25,1,217.05,217.05
T00003,C0028,P057,25-01-2024 14:28,4,958.8,239.7
T00013,C0183,P057,04-03-2024 22:09,4,958.8,239.7
T00017,C0087,P057,09-05-2024 03:52,4,958.8,239.7
T00046,C0190,P057,28-07-2024 06:29,4,958.8,239.7
T00091,C0200,P057,27-04-2024 19:06,1,239.7,239.7
T00161,C0055,P057,15-07-2024 07:02,2,479.4,239.7
T00184,C0188,P057,13-05-2024 07:24,2,479.4,239.7
T00218,C0148,P057,17-01-2024 19:40,3,719.1,239.7
T00417,C0035,P057,20-04-2024 22:54,3,719.1,239.7
T00492,C0120,P057,08-08-2024 05:40,3,719.1,239.7
T00605,C0017,P057,31-12-2023 03:27,4,958.8,239.7
T00615,C0145,P057,14-07-2024 07:45,2,479.4,239.7
T00619,C0028,P057,25-12-2024 09:53,2,479.4,239.7
T00703,C0092,P057,04-02-2024 00:31,3,719.1,239.7
T00962,C0188,P057,29-11-2024 19:49,2,479.4,239.7
T00004,C0004,P049,19-07-2024 10:56,4,591.8,147.95
T00105,C0087,P049,12-02-2024 08:14,3,443.85,147.95
T00136,C0010,P049,22-02-2024 18:44,2,295.9,147.95
T00237,C0065,P049,27-02-2024 22:16,2,295.9,147.95
T00239,C0132,P049,06-12-2024 19:03,2,295.9,147.95
T00310,C0068,P049,18-05-2024 05:03,2,295.9,147.95
T00470,C0123,P049,13-11-2024 17:36,1,147.95,147.95
T00551,C0018,P049,23-02-2024 13:28,3,443.85,147.95
T00563,C0064,P049,16-01-2024 18:52,1,147.95,147.95
T00567,C0121,P049,27-09-2024 23:40,2,295.9,147.95
T00620,C0041,P049,05-01-2024 18:43,4,591.8,147.95
T00650,C0070,P049,07-10-2024 14:56,4,591.8,147.95
T00818,C0161,P049,01-01-2024 03:54,1,147.95,147.95
T00923,C0173,P049,19-07-2024 10:31,1,147.95,147.95
T00970,C0132,P049,17-11-2024 06:14,4,591.8,147.95
T00005,C0150,P087,25-05-2024 17:44,2,580.34,290.17
T00037,C0176,P087,09-03-2024 04:58,4,1160.68,290.17
T00206,C0167,P087,05-05-2024 05:32,2,580.34,290.17
T00208,C0184,P087,14-08-2024 02:02,1,290.17,290.17
T00485,C0184,P087,13-05-2024 14:33,1,290.17,290.17
T00488,C0034,P087,21-10-2024 12:47,2,580.34,290.17
T00497,C0053,P087,21-06-2024 02:02,4,1160.68,290.17
T00684,C0102,P087,17-07-2024 07:26,1,290.17,290.17
T00846,C0134,P087,10-11-2024 10:56,4,1160.68,290.17
T00875,C0086,P087,26-09-2024 23:20,2,580.34,290.17
T00880,C0036,P087,02-11-2024 12:20,3,870.51,290.17
T00953,C0056,P087,07-03-2024 21:09,2,580.34,290.17
T00006,C0076,P053,01-12-2024 20:44,3,824.82,274.94
T00010,C0194,P053,14-03-2024 11:55,1,274.94,274.94
T00175,C0146,P053,18-12-2024 18:28,3,824.82,274.94
T00269,C0124,P053,06-02-2024 16:22,4,1099.76,274.94
T00293,C0053,P053,11-07-2024 15:32,3,824.82,274.94
T00568,C0065,P053,18-09-2024 05:00,1,274.94,274.94
T00602,C0024,P053,26-04-2024 11:26,1,274.94,274.94
T00744,C0004,P053,11-03-2024 09:25,4,1099.76,274.94
T00952,C0139,P053,06-10-2024 06:02,1,274.94,274.94
T00968,C0133,P053,05-12-2024 17:47,4,1099.76,274.94
T00007,C0173,P023,06-05-2024 18:05,4,1818.12,454.53
T00089,C0076,P023,19-06-2024 23:01,1,454.53,454.53
T00158,C0012,P023,30-05-2024 03:34,2,909.06,454.53
T00349,C0184,P023,18-04-2024 14:56,1,454.53,454.53
T00455,C0128,P023,08-01-2024 16:14,1,454.53,454.53
T00501,C0158,P023,04-09-2024 16:19,3,1363.59,454.53
T00721,C0012,P023,08-12-2024 09:46,3,1363.59,454.53
T00749,C0133,P023,20-06-2024 19:04,2,909.06,454.53
T00997,C0164,P023,01-11-2024 23:04,4,1818.12,454.53
T00008,C0067,P069,17-10-2024 00:45,1,100.81,100.81
T00035,C0142,P069,20-08-2024 15:26,2,201.62,100.81
T00140,C0121,P069,18-03-2024 09:16,2,201.62,100.81
T00187,C0032,P069,24-02-2024 09:30,1,100.81,100.81
T00194,C0063,P069,28-09-2024 06:07,1,100.81,100.81
T00228,C0113,P069,21-04-2024 19:52,2,201.62,100.81
T00232,C0136,P069,10-11-2024 22:04,3,302.43,100.81
T00355,C0017,P069,12-01-2024 20:20,2,201.62,100.81
T00448,C0194,P069,22-10-2024 08:13,2,201.62,100.81
T00561,C0172,P069,14-05-2024 14:21,1,100.81,100.81
T00828,C0068,P069,04-06-2024 21:07,4,403.24,100.81
T00852,C0125,P069,24-08-2024 09:50,3,302.43,100.81
T00009,C0086,P095,06-04-2024 03:41,4,909.04,227.26
T00155,C0002,P095,12-07-2024 10:18,2,454.52,227.26
T00644,C0008,P095,13-06-2024 09:13,1,227.26,227.26
T00685,C0017,P095,11-05-2024 17:59,2,454.52,227.26
T00800,C0122,P095,25-08-2024 16:04,3,681.78,227.26
T00961,C0109,P095,02-11-2024 01:55,3,681.78,227.26
T00965,C0071,P095,23-08-2024 15:53,4,909.04,227.26
T00011,C0162,P062,03-04-2024 03:46,1,374.16,374.16
T00041,C0141,P062,13-02-2024 23:56,4,1496.64,374.16
T00146,C0155,P062,24-07-2024 07:11,2,748.32,374.16
T00190,C0156,P062,25-09-2024 19:36,2,748.32,374.16
T00221,C0188,P062,28-02-2024 14:14,4,1496.64,374.16
T00230,C0064,P062,06-12-2024 16:22,1,374.16,374.16
T00364,C0183,P062,16-06-2024 08:22,2,748.32,374.16
T00533,C0191,P062,12-07-2024 10:33,4,1496.64,374.16
T00570,C0147,P062,25-12-2024 00:52,1,374.16,374.16
T00640,C0087,P062,13-09-2024 23:20,3,1122.48,374.16
T00649,C0028,P062,23-01-2024 07:39,3,1122.48,374.16
T00664,C0138,P062,02-10-2024 22:44,4,1496.64,374.16
T00692,C0153,P062,30-06-2024 22:09,2,748.32,374.16
T00723,C0043,P062,12-06-2024 01:39,2,748.32,374.16
T00725,C0135,P062,03-10-2024 20:53,2,748.32,374.16
T00944,C0122,P062,08-10-2024 19:57,2,748.32,374.16
T00012,C0091,P041,29-03-2024 01:28,4,1825.12,456.28
T00034,C0168,P041,09-01-2024 11:00,4,1825.12,456.28
T00094,C0012,P041,14-07-2024 19:37,4,1825.12,456.28
T00231,C0069,P041,27-08-2024 19:54,2,912.56,456.28
T00236,C0184,P041,25-02-2024 14:08,1,456.28,456.28
T00261,C0125,P041,20-02-2024 06:00,2,912.56,456.28
T00343,C0173,P041,02-01-2024 11:54,1,456.28,456.28
T00482,C0066,P041,04-06-2024 02:02,4,1825.12,456.28
T00589,C0186,P041,23-10-2024 16:42,1,456.28,456.28
T00597,C0023,P041,01-07-2024 04:53,3,1368.84,456.28
T00881,C0101,P041,19-08-2024 04:22,3,1368.84,456.28
T00014,C0105,P060,05-08-2024 07:35,1,155.65,155.65
T00392,C0072,P060,02-11-2024 20:33,4,622.6,155.65
T00405,C0093,P060,02-08-2024 21:41,2,311.3,155.65
